,Planet,Planet status,mass,diameter,orbital_period,Semi major axis,eccentricity,Angular distance,Year discovered,Date updated,tzero_tr,Calculated temperature,Measured temperature,log_g,detection_type,molecules,Star,star_distance,Star age
118,AU Mic b,Confirmed,0.116,0.9142,8.46303507,0.08305,0.012,,2020.0,2023-02-20,2458330.39017,569.5,,,Primary Transit,,AU Mic,9.79,0.022
119,AU Mic c,Confirmed,0.101,0.56,18.859014,0.1417,0.06,,2020.0,2023-02-20,2458342.22231,436.0,,,Primary Transit,,AU Mic,9.79,0.022
129,BD+20 594 b,Confirmed,0.07,0.46,41.6855,0.241,0.0,,2016.0,2021-02-05,2457151.9021,386.0,,,Primary Transit,,BD+20 594,180.39,3.34
176,CoRoT-15 b,Confirmed,63.4,2.24,3.06036,0.045,0.0,,2010.0,2015-09-23,2454753.5608,1740.0,,,Primary Transit,,CoRoT-15,,
185,CoRoT-22 b,Confirmed,0.06,0.8708,9.75598,0.092,0.077,0.000149,2011.0,2018-11-20,2454598.42014,885.0,,,Primary Transit,,CoRoT-22,592.0,3.3
187,CoRoT-24 b,Confirmed,0.018,0.66,5.1134,0.056,0.0,9.3e-05,2011.0,2019-06-13,2454789.611,1070.0,,,Primary Transit,,CoRoT-24,600.0,11.0
188,CoRoT-24 c,Confirmed,0.088,0.88,11.759,0.098,0.0,0.000163,2011.0,2019-06-13,2454795.3803,850.0,,,Primary Transit,,CoRoT-24,600.0,11.0
191,CoRoT-27 b,Confirmed,10.39,2.014,3.57532,0.0476,0.065,,2012.0,2014-07-10,2455748.684,1500.0,,,Primary Transit,,CoRoT-27,,4.21
200,CoRoT-36 b,Confirmed,0.68,2.82,5.616531,0.066,0.0,,2022.0,2022-07-19,2455662.5236,1567.0,,,Primary Transit,,CoRoT-36,954.0,2.1
250,EPIC 211945201 b,Confirmed,0.085,1.028,19.49221,0.1493,0.0,,2018.0,2021-02-08,2458113.93994,817.0,,,Primary Transit,,EPIC 211945201,182.69,3.99
256,EPIC 212737443 b,Confirmed,0.02907,0.462,13.603,0.098,0.2,,2019.0,2021-02-08,2457234.97,536.0,,,Primary Transit,,EPIC 212737443,347.45,
258,EPIC 219388192 b,Confirmed,36.0,1.692,5.292569,0.0593,0.1893,,2016.0,2019-03-11,2457341.037008,1164.0,,,Primary Transit,,EPIC 219388192,300.0,3.9
259,EPIC 246193072 b,Confirmed,0.26,1.548,12.4551225,0.1016,0.0697,,2020.0,2022-12-07,2457773.15727,650.0,,,Primary Transit,,EPIC 246193072,230.4,1.8
267,G 9-40 b,Confirmed,0.013,0.34,5.7459982,0.0418,0.0,,2019.0,2022-08-16,2459503.32682,440.6,,,Primary Transit,,G 9-40,27.93,9.9
275,GJ 1132 b,Confirmed,0.00522,0.207,1.628931,0.0154,0.0,,2015.0,2018-11-15,2457184.55786,580.0,,,Primary Transit,"CO2, H2, N2, O2",GJ 1132,12.04,5.0
313,GJ 3090 b,Confirmed,0.01051,0.38,2.8531054,0.03165,0.18,,2022.0,2022-07-29,2458370.0,692.0,,,Primary Transit,,GJ 3090,22.444,
329,GJ 3473 b,Confirmed,0.00585,0.22554,1.1980035,0.01589,0.0,,2020.0,2020-09-23,2458492.20408,773.0,,,Primary Transit,,GJ 3473,27.39,
333,GJ 357 b,Confirmed,0.006566,0.20822,3.93086,0.033,0.047,,2019.0,2020-07-21,2458517.9994,525.0,,,Primary Transit,,GJ 357,9.444,
356,GJ 486 b,Confirmed,0.00887,0.23286,1.467119,0.01734,0.05,,2021.0,2023-05-02,2458931.15935,700.0,,,Primary Transit,H2O,GJ 486,8.0761,
401,GJ 9827 b,Confirmed,0.01532,0.27282,1.2089765,0.01866,0.0,,2017.0,2020-09-09,2457738.82586,1043.5,,,Primary Transit,,GJ 9827,30.3,
403,GJ 9827 d,Confirmed,0.01076,0.34882,6.20183,0.0555,0.0,,2017.0,2020-09-09,2457740.961,604.9,,,Primary Transit,,GJ 9827,30.3,
406,GPX-1 b,Confirmed,19.7,2.94,1.744579,0.0338,0.0,,2020.0,2020-09-28,2458770.23823,2300.0,,,Primary Transit,,GPX-1,,0.27
420,HAT-P-1 b,Confirmed,0.525,2.638,4.46529976,0.05561,0.067,0.000398,2006.0,2022-07-27,2453979.93202,1322.0,,,Primary Transit,"H2O, K, Na",HAT-P-1,139.0,3.6
422,HAT-P-11 b,Confirmed,0.0736,0.778,4.887802443,0.053,0.265,0.001395,2009.0,2022-07-07,2454605.89132,750.0,,,Primary Transit,"C, H, H2O, He",HAT-P-11,37.89,6.5
432,HAT-P-18 b,Confirmed,0.183,1.894,5.508029,0.0559,0.106,0.000337,2010.0,2022-07-07,2454715.02254,841.0,,2.734,Primary Transit,"H2O, He",HAT-P-18,166.0,12.4
441,HAT-P-26 b,Confirmed,0.0585,1.14,4.234502,0.0479,0.124,0.000357,2010.0,2023-03-08,2455304.6521,590.0,,,Primary Transit,"CH4, CO, CO2, CrH, H2O, ScH, TiH",HAT-P-26,134.0,9.0
459,HAT-P-42 b,Confirmed,0.975,2.554,4.641876,0.0575,0.0,,2012.0,2018-12-17,2455952.52606,1427.0,,3.17,Primary Transit,,HAT-P-42,447.0,5.1
460,HAT-P-43 b,Confirmed,0.66,2.566,3.332688,0.0443,0.0,,2012.0,2018-12-17,2455997.37105,1361.0,,,Primary Transit,,HAT-P-43,543.0,5.7
468,HAT-P-49 b,Confirmed,1.73,2.826,2.691548,0.0438,0.0,,2014.0,2014-05-21,2456399.62406,2131.0,,,Primary Transit,,HAT-P-49,322.0,1.5
470,HAT-P-50 b,Confirmed,1.36,2.576,3.1220109,0.0453,0.115,,2015.0,2015-07-27,2456285.90993,1862.0,,,Primary Transit,,HAT-P-50,597.0,3.37
471,HAT-P-51 b,Confirmed,0.309,2.586,4.2180278,0.05069,0.123,,2015.0,2015-08-17,2456194.12204,1192.0,,,Primary Transit,,HAT-P-51,470.0,8.2
472,HAT-P-52 b,Confirmed,0.819,2.018,2.7535953,0.03694,0.047,,2015.0,2018-12-17,2455852.10329,1218.0,,,Primary Transit,,HAT-P-52,385.0,9.4
473,HAT-P-53 b,Confirmed,1.487,2.636,1.9616241,0.03159,0.134,,2015.0,2015-08-17,2455829.44781,1778.0,,,Primary Transit,,HAT-P-53,719.0,4.67
475,HAT-P-55 b,Confirmed,0.582,2.364,3.5852467,0.04604,0.139,,2015.0,2015-08-17,2456730.83468,1313.0,,,Primary Transit,,HAT-P-55,480.0,4.2
476,HAT-P-56 b,Confirmed,2.31,3.02,2.79083,0.0423,0.246,,2015.0,2021-02-05,2456553.61645,1840.0,,,Primary Transit,,HAT-P-56,323.5,2.01
477,HAT-P-57 b,Confirmed,1.85,2.826,2.465295,0.0406,0.0,,2015.0,2015-11-04,2455113.48127,2200.0,,,Primary Transit,,HAT-P-57,303.0,1.0
