,Name,Mass,HZ,Orbit,Mass_range,Formula,Formula_easy
512,Earth,1.0,0.0,0.0167,1,5.0,50.0
511,Venus,0.815,0.28,0.0068,1,2.40158243,24.0158243
513,Mars,0.107,0.52,0.0934,1,1.180405404230769,11.80405404230769
0,AU Mic b,0.116,9.436446609406726,0.012,1,0.7088711076192434,0.7088711076192434
1,AU Mic c,0.101,9.436446609406726,0.06,1,0.6744320254677012,0.6744320254677012
118,HD 95338 b,0.12406,36.23744736058182,0.199,1,0.14965586334039527,0.14965586334039527
494,WASP-69 b,0.26,49.24929368192348,0.0,1,0.1374734436543816,0.1374734436543816
302,TOI-1130 c,1.02474,57.694302639214214,0.0457,1,0.11198782592804035,0.11198782592804035
122,HIP 65A b,3.213,61.19979746378328,0.0,1,0.11062896088841828,0.11062896088841828
337,TOI-1696 b,0.1787,64.90123131203589,0.0,1,0.10431959245038887,0.10431959245038887
390,TOI-3235 b,0.665,72.25278263608921,0.029,1,0.09098786413682454,0.09098786413682454
507,XO-6 b,1.9,84.21771971901163,0.0,1,0.080392463992012,0.080392463992012
124,HIP 94235 b,1.192,57.465736663175825,0.32,1,0.0801159067530096,0.0801159067530096
415,TOI-5205 b,1.08,86.61956917878962,0.02,1,0.07660001848202122,0.07660001848202122
197,KELT-11 b,0.195,96.2755987497105,0.0,1,0.07032384205266093,0.07032384205266093
483,WASP-189 b,1.99,96.40786360254712,0.0,1,0.07022736265489782,0.07022736265489782
134,K2-137 b,0.5,98.83801282077624,0.0,1,0.06850066899136213,0.06850066899136213
374,TOI-257 b,0.134,75.43298232477471,0.24,1,0.06821362541183829,0.06821362541183829
294,Qatar-6 A b,0.668,100.25474014733115,0.0,1,0.06753266718411853,0.06753266718411853
97,HD 1397 b,0.415,77.78998741847313,0.251,1,0.06518939259779014,0.06518939259779014
475,WASP-166 b,0.102,111.70186325835834,0.0,1,0.060611970136437134,0.060611970136437134
487,WASP-33 b,2.8,114.1720606205347,0.0,1,0.05930058512741147,0.05930058512741147
393,TOI-3714 b,0.7,112.11415417586814,0.03,1,0.05857740218686484,0.05857740218686484
311,TOI-1259A b,0.441,117.549257634916,0.0,1,0.05759687586481999,0.05759687586481999
346,TOI-181 b,0.13,95.54359746378327,0.19,1,0.057398725247694335,0.057398725247694335
499,WASP-84 b,0.692,119.22737610184515,0.0,1,0.056786203146973566,0.056786203146973566
463,WASP-132 b,0.41,119.28445824720006,0.0,1,0.05675902879123754,0.05675902879123754
414,TOI-519 b,0.463,115.70584958398433,0.06,1,0.05500363052414698,0.05500363052414698
87,HATS-72 b,0.1254,127.03487743503294,0.013,1,0.05260330095896288,0.05260330095896288
417,TOI-532 b,0.1935,134.09919953112788,0.0,1,0.05048851912369842,0.05048851912369842
444,V 1298 Tau d,0.113,107.34631026701284,0.21,1,0.04982631714770386,0.04982631714770386
391,TOI-3629 b,0.26,129.1999530022088,0.05,1,0.049782885756081044,0.049782885756081044
493,WASP-59 b,0.863,124.39033209121686,0.1,1,0.04898630703495207,0.04898630703495207
473,WASP-156 b,0.1303,139.22737610184515,0.0,1,0.0486288701946619,0.0486288701946619
446,WASP-104 b,1.272,141.96985049628708,0.0,1,0.04768949165144798,0.04768949165144798
348,TOI-1899 b,0.66,127.9035205109977,0.118,1,0.046687960707747216,0.046687960707747216
416,TOI-530 b,0.4,147.3141541758681,0.0,1,0.045959399067093086,0.045959399067093086
19,HAT-P-1 b,0.525,137.76515347066933,0.067,1,0.04585229537994076,0.04585229537994076
322,TOI-1431 b,3.14,146.98103073710286,0.01,1,0.04560292757770137,0.04560292757770137
442,V 1298 Tau b,0.5,107.34631026701284,0.29,1,0.044780614145404726,0.044780614145404726
101,HD 202772 A b,1.008,144.9776013123204,0.047,1,0.044505205297886784,0.044505205297886784
141,K2-139 b,0.381,153.65939593877124,0.0,1,0.0440615424695398,0.0440615424695398
353,TOI-201 b,0.42,112.69032371151958,0.28,1,0.04325782586692213,0.04325782586692213
117,HD 89345 b,0.1123,125.41470341264306,0.203,1,0.04302577324004597,0.04302577324004597
433,TOI-905 b,0.667,158.61633872113012,0.024,1,0.041660139007607275,0.041660139007607275
150,K2-232 b,0.398,129.91186325835835,0.258,1,0.03866997681350539,0.03866997681350539
408,TOI-4463 b,0.794,176.55483475175436,0.0,1,0.0383476895975103,0.0383476895975103
461,WASP-130 b,1.23,178.9394039411727,0.0,1,0.0378366634228078,0.0378366634228078
