,Planet,diameter (km),mean orbital velocity (km/sec),rotation period (in Earth days),inclination of axis (degrees),mean temperature at surface (C),escape velocity (km/sec),mean density (water=1),number of moons,rings?,Planet status,Semi major axis,Angular distance,Year discovered,Date updated,Calculated temperature,Measured temperature,Star,Star age,Mass (Earth=1),Diameter (Earth=1),Orbital period (Earth years),Orbital eccentricity,Gravity at surface (Earth=1),Molecules present
0,Mercury,"4,878",47.89,58.65,0.0,-180 to 430,4.25,5.43,"
",no,,,,,,,,Sun,,0.055,0.382,0.24,0.2056,0.38,none
1,Venus,"12,104",35.03,-243.0,177.4,465,10.36,5.25,"
",no,,,,,,,,Sun,,0.815,0.949,0.62,0.0068,0.9,CO2
2,Earth,"12,756",29.79,1.0,23.45,-89 to 58,11.18,5.52,"
",no,,,,,,,,Sun,,1.0,1.0,1.0,0.0167,1.0,N2 + O2
3,Mars,"6,787",24.13,1.03,23.98,-82 to 0,5.02,3.93,"
",no,,,,,,,,Sun,,0.107,0.532,1.88,0.0934,0.38,CO2
4,Jupiter,"142,800",13.06,0.41,3.08,-150,59.54,1.33,"
",yes,,,,,,,,Sun,,318.0,11.209,11.86,0.0483,2.64,H2+He
5,Saturn,"120,000",9.64,0.44,26.73,-170,35.49,0.71,"
",yes,,,,,,,,Sun,,95.0,9.44,29.46,0.056,0.93,H2+He
6,Uranus,"51,118",6.81,-0.72,97.92,-200,21.29,1.24,"
",yes,,,,,,,,Sun,,15.0,4.007,84.01,0.0461,0.89,H2+He
7,Neptune,"49,528",5.43,0.72,28.8,-210,23.71,1.67,"
",yes,,,,,,,,Sun,,17.0,3.883,164.8,0.0097,1.12,H2+He
8,AU Mic b,,,,,,,,,,Confirmed,0.08305,nan,2020.0,2023-02-20,569.5,nan,AU Mic,0.022,0.116,0.9142,8.46303507,0.012,nan,nan
9,AU Mic c,,,,,,,,,,Confirmed,0.1417,nan,2020.0,2023-02-20,436.0,nan,AU Mic,0.022,0.101,0.56,18.859014,0.06,nan,nan
10,BD+20 594 b,,,,,,,,,,Confirmed,0.241,nan,2016.0,2021-02-05,386.0,nan,BD+20 594,3.34,0.07,0.46,41.6855,0.0,nan,nan
11,CoRoT-15 b,,,,,,,,,,Confirmed,0.045,nan,2010.0,2015-09-23,1740.0,nan,CoRoT-15,nan,63.4,2.24,3.06036,0.0,nan,nan
12,CoRoT-22 b,,,,,,,,,,Confirmed,0.092,0.000149,2011.0,2018-11-20,885.0,nan,CoRoT-22,3.3,0.06,0.8708,9.75598,0.077,nan,nan
13,CoRoT-24 b,,,,,,,,,,Confirmed,0.056,9.3e-05,2011.0,2019-06-13,1070.0,nan,CoRoT-24,11.0,0.018,0.66,5.1134,0.0,nan,nan
14,CoRoT-24 c,,,,,,,,,,Confirmed,0.098,0.000163,2011.0,2019-06-13,850.0,nan,CoRoT-24,11.0,0.088,0.88,11.759,0.0,nan,nan
15,CoRoT-27 b,,,,,,,,,,Confirmed,0.0476,nan,2012.0,2014-07-10,1500.0,nan,CoRoT-27,4.21,10.39,2.014,3.57532,0.065,nan,nan
16,CoRoT-36 b,,,,,,,,,,Confirmed,0.066,nan,2022.0,2022-07-19,1567.0,nan,CoRoT-36,2.1,0.68,2.82,5.616531,0.0,nan,nan
17,EPIC 211945201 b,,,,,,,,,,Confirmed,0.1493,nan,2018.0,2021-02-08,817.0,nan,EPIC 211945201,3.99,0.085,1.028,19.49221,0.0,nan,nan
18,EPIC 212737443 b,,,,,,,,,,Confirmed,0.098,nan,2019.0,2021-02-08,536.0,nan,EPIC 212737443,nan,0.02907,0.462,13.603,0.2,nan,nan
19,EPIC 219388192 b,,,,,,,,,,Confirmed,0.0593,nan,2016.0,2019-03-11,1164.0,nan,EPIC 219388192,3.9,36.0,1.692,5.292569,0.1893,nan,nan
20,EPIC 246193072 b,,,,,,,,,,Confirmed,0.1016,nan,2020.0,2022-12-07,650.0,nan,EPIC 246193072,1.8,0.26,1.548,12.4551225,0.0697,nan,nan
21,G 9-40 b,,,,,,,,,,Confirmed,0.0418,nan,2019.0,2022-08-16,440.6,nan,G 9-40,9.9,0.013,0.34,5.7459982,0.0,nan,nan
22,GJ 1132 b,,,,,,,,,,Confirmed,0.0154,nan,2015.0,2018-11-15,580.0,nan,GJ 1132,5.0,0.00522,0.207,1.628931,0.0,nan,"CO2, H2, N2, O2"
23,GJ 3090 b,,,,,,,,,,Confirmed,0.03165,nan,2022.0,2022-07-29,692.0,nan,GJ 3090,nan,0.01051,0.38,2.8531054,0.18,nan,nan
24,GJ 3473 b,,,,,,,,,,Confirmed,0.01589,nan,2020.0,2020-09-23,773.0,nan,GJ 3473,nan,0.00585,0.22554,1.1980035,0.0,nan,nan
25,GJ 357 b,,,,,,,,,,Confirmed,0.033,nan,2019.0,2020-07-21,525.0,nan,GJ 357,nan,0.006566,0.20822,3.93086,0.047,nan,nan
